Deal Name,Date,Investor,Measure,Amount
ALPHA,2018-01-01,Gates Invest,Commitment,6321000.0
ALPHA,2018-01-01,MSD,Commitment,1246000.0
ALPHA,2018-01-01,Stowy Family,Commitment,12586000.0
ALPHA,2018-01-01,Gibraltar Investments,Commitment,10871000.0
ALPHA,2018-01-01,Gates Capital,Commitment,3717000.0
ALPHA,2018-01-01,Sapir LLC,Commitment,1939000.0
ALPHA,2018-01-01,Jobs Capital,Commitment,4886000.0
ALPHA,2018-01-01,Oak Family,Commitment,6482000.0
ALPHA,2018-01-01,Bill and Melinda Foundation,Commitment,6440000.0
ALPHA,2018-01-01,Overwatch LLC,Commitment,14399000.0
ALPHA,2018-01-01,Third Gen Partners,Commitment,1113000.0
ALPHA,2018-04-19,Third Gen Partners,Capital Call,423497.0
ALPHA,2018-04-19,Sapir LLC,Estimated NAV,737789.641824
ALPHA,2018-04-19,Gates Capital,Other Fees,50259.0
ALPHA,2018-04-19,Jobs Capital,Estimated NAV,1859123.357376
ALPHA,2018-04-19,MSD,Capital Call,474103.0
ALPHA,2018-04-19,Overwatch LLC,Other Fees,194694.0
ALPHA,2018-04-19,Bill and Melinda Foundation,Other Fees,87077.0
ALPHA,2018-04-19,Sapir LLC,Capital Call,737790.0
ALPHA,2018-04-19,Oak Family,Other Fees,87645.0
ALPHA,2018-04-19,Stowy Family,Capital Call,4788974.0
ALPHA,2018-04-19,MSD,Estimated NAV,474103.091136
ALPHA,2018-04-19,Bill and Melinda Foundation,Estimated NAV,2450420.47104
ALPHA,2018-04-19,Gibraltar Investments,Estimated NAV,4136416.295136
ALPHA,2018-04-19,Stowy Family,Other Fees,170179.0
ALPHA,2018-04-19,MSD,Other Fees,16848.0
ALPHA,2018-04-19,Overwatch LLC,Estimated NAV,5478820.553184
ALPHA,2018-04-19,Gates capital,Capital Call,1414319.0
ALPHA,2018-04-19,Sapir LLC,Other Fees,26218.0
ALPHA,2018-04-19,Jobs Capital,Capital Call,1859123.0
ALPHA,2018-04-19,Gibraltar Investments,Capital Call,4136416.0
ALPHA,2018-04-19,Gates Capital,Estimated NAV,1414318.771872
ALPHA,2018-04-19,Stowy Family,Estimated NAV,4788973.920576
ALPHA,2018-04-19,Gates Invest,Other Fees,85468.0
ALPHA,2018-04-19,Overwatch LLC,Capital Call,5478821.0
ALPHA,2018-04-19,Oak Family,Estimated NAV,2466401.474112
ALPHA,2018-04-19,Third Gen Partners,Other Fees,15049.0
ALPHA,2018-04-19,Oak Family,Capital Call,2466401.0
ALPHA,2018-04-19,Gates Invest,Estimated NAV,2405140.962336
ALPHA,2018-04-19,Bill and Melinda Foundation,Capital Call,2450420.0
ALPHA,2018-04-19,Jobs Capital,Other Fees,66065.0
ALPHA,2018-04-19,Gates Invest,Capital Call,2405141.0
ALPHA,2018-04-19,Gibraltar Investments,Other Fees,146990.0
ALPHA,2018-04-19,Third Gen Partners,Estimated NAV,423496.581408
ALPHA,2018-05-15,MSD,Capital Call,20141.0
ALPHA,2018-05-15,Gates Capital,Capital Call,60085.0
ALPHA,2018-05-15,Gates Invest,Capital Call,102178.0
ALPHA,2018-05-15,Stowy Family,Estimated NAV,4992423.913576
ALPHA,2018-05-15,Jobs Capital,Estimated NAV,1938104.500376
ALPHA,2018-05-15,Gibraltar Investments,Estimated NAV,4312143.680636
ALPHA,2018-05-15,Bill and Melinda Foundation,Estimated NAV,2554521.69104
ALPHA,2018-05-15,Oak Family,Estimated NAV,2571181.615112
ALPHA,2018-05-15,Oak Family,Capital Call,104780.0
ALPHA,2018-05-15,Overwatch LLC,Estimated NAV,5711577.302684
ALPHA,2018-05-15,MSD,Estimated NAV,494244.414136
ALPHA,2018-05-15,Gates Invest,Estimated NAV,2507318.572836
ALPHA,2018-05-15,Bill and Melinda Foundation,Capital Call,104101.0
ALPHA,2018-05-15,Stowy Family,Capital Call,203450.0
ALPHA,2018-05-15,Gates Capital,Estimated NAV,1474403.280372
ALPHA,2018-05-15,Jobs Capital,Capital Call,78981.0
ALPHA,2018-05-15,Overwatch LLC,Capital Call,232757.0
ALPHA,2018-05-15,Sapir LLC,Capital Call,31344.0
ALPHA,2018-05-15,Third Gen Partners,Estimated NAV,441487.987908
